,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
1,0.429824560880661,0.7368420958518982,0.0,750,750_p_future,0.5,CND
2,0.5595238208770752,0.5,0.6428571343421936,750,750_p_future,0.6285714285714286,CND
3,0.429824560880661,0.7368420958518982,0.0,750,750_p_future,0.5,CND
4,0.4714285731315613,0.4000000059604645,0.5714285969734192,750,750_p_future,0.5,CND
0,0.46886447072029114,0.761904776096344,0.0,1000,1000_p_future,0.4625,CND
1,0.46886447072029114,0.761904776096344,0.0,1000,1000_p_future,0.5,CND
2,0.46886447072029114,0.761904776096344,0.0,1000,1000_p_future,0.5,CND
3,0.46886447072029114,0.761904776096344,0.0,1000,1000_p_future,0.5,CND
4,0.46886447072029114,0.761904776096344,0.0,1000,1000_p_future,0.5,CND
0,0.41558441519737244,0.7272727489471436,0.0,1250,1250_p_future,0.5,CND
1,0.41558441519737244,0.7272727489471436,0.0,1250,1250_p_future,0.5,CND
2,0.41558441519737244,0.7272727489471436,0.0,1250,1250_p_future,0.5,CND
3,0.41558441519737244,0.7272727489471436,0.0,1250,1250_p_future,0.5,CND
4,0.41558441519737244,0.7272727489471436,0.0,1250,1250_p_future,0.5,CND
0,0.41558441519737244,0.7272727489471436,0.0,1500,1500_p_future,0.5,CND
1,0.41558441519737244,0.7272727489471436,0.0,1500,1500_p_future,0.5,CND
2,0.41558441519737244,0.7272727489471436,0.0,1500,1500_p_future,0.5,CND
3,0.41558441519737244,0.7272727489471436,0.0,1500,1500_p_future,0.5,CND
4,0.41558441519737244,0.7272727489471436,0.0,1500,1500_p_future,0.5,CND
0,0.700279712677002,0.7927451729774475,0.4634554088115692,250,250,0.6573723098721618,CND_video_only
1,0.7150928974151611,0.8113813400268555,0.4684772193431854,250,250,0.6735658415636975,CND_video_only
2,0.7044618725776672,0.8053330183029175,0.44610875844955444,250,250,0.6606158275238943,CND_video_only
3,0.704761803150177,0.8071575164794922,0.4425041079521179,250,250,0.6620725192406377,CND_video_only
4,0.694362461566925,0.8042680621147156,0.4128704369068146,250,250,0.6453530097943428,CND_video_only
0,0.7739405632019043,0.8682669997215271,0.4154132902622223,0,0_p_future,0.6979981254369345,CND_video_only
1,0.7852705121040344,0.8735522031784058,0.4497186243534088,0,0_p_future,0.7092249388475387,CND_video_only
2,0.7764901518821716,0.865828812122345,0.4369208812713623,0,0_p_future,0.6995931314962845,CND_video_only
3,0.7768675088882446,0.8659210205078125,0.4383821487426758,0,0_p_future,0.7014042504832803,CND_video_only
4,0.7681256532669067,0.8679287433624268,0.38878166675567627,0,0_p_future,0.6863094142925826,CND_video_only
0,0.6620940566062927,0.7574077844619751,0.457319974899292,500,500_p_future,0.6359224448140066,CND_video_only
1,0.6767531633377075,0.7669124603271484,0.4830528497695923,500,500_p_future,0.6478910923766587,CND_video_only
